Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C12",0805,2,4.7u,
"C10, C4, C5, C9",0603,4,0.47u,
"C11, C13, C2",0603,3,0.1u,
C3,0805,1,1u,
C6,0805,1,10u,
"C7, C8",0603,2,27p,
D1,SOT-23-6,1,USBLC6-2SC6,
"D2, D3",0603,2,TX LED,
D4,SOT-323_SC-70,1,CANESD,
J1,USB4105,1,USB4105,
J2,DNP,1,DNP,
J3,DNP,1,DNP,
L1,ACT1210D-101-2P-TL00,1,ACT1210,
"R1, R10, R2, R8",0603,4,5.1K,
"R11, R12, R14",0603,3,120R,
"R13, R9",0603,2,0R,
R3,0603,1,22.1K,
R4,0603,1,47.5K,
"R5, R6",0603,2,1K,
R7,0603,1,100K,
SW1,CHS-01A,1,SPST,
U1,VSSOP28_DGS_TEX,1,MSMP0G3507,
U2,SOT-23-5_HandSoldering,1,TLV78533PDBVR,
U3,QFN-24-1EP,1,CP2102N,
U4,SOIC8_D_TEX,1,TCAN3413DR,
Y1,2Pin_5.0x3.2mm,1,ABM3,
