Designator,Mid X,Mid Y,Rotation,Layer
C1,114.9475,-92.46,180.0,top
C10,132.8,-93.4,180.0,top
C11,122.9875,-94.22,0.0,top
C12,123.1375,-92.5,0.0,top
C13,141.5375,-85.5,180.0,top
C2,115.085,-94.18,180.0,top
C3,110.4,-81.6,270.0,top
C4,117.8,-81.4625,270.0,top
C5,136.0625,-84.7,0.0,top
C6,132.3,-83.1,90.0,top
C7,121.9375,-82.0,180.0,top
C8,121.9375,-80.5,180.0,top
C9,136.0625,-81.7,0.0,top
D1,112.0,-89.0,180.0,top
D2,144.525,-79.8,0.0,top
D3,144.525,-81.3,0.0,top
D4,160.4375,-89.45,0.0,top
J1,103.0,-89.0,270.0,top
J2,167.0,-89.0,90.0,top
J3,132.17,-97.9,270.0,top
L1,150.425016,-89.505,0.0,top
R1,102.9125,-95.5,180.0,top
R10,122.9875,-95.69,0.0,top
R11,147.9125,-79.8,0.0,top
R12,147.9125,-81.3,0.0,top
R13,145.4125,-85.5,0.0,top
R14,155.9,-93.0525,270.0,top
R2,103.0,-82.5,180.0,top
R3,115.085,-95.65,0.0,top
R4,115.085,-97.12,180.0,top
R5,122.9925,-97.16,0.0,top
R6,111.9875,-84.4,0.0,top
R7,136.0625,-80.2,180.0,top
R8,136.0625,-83.2,0.0,top
R9,132.8,-94.9,0.0,top
SW1,155.9,-87.4,90.0,top
U1,130.0,-89.0,270.0,top
U2,114.25,-81.55,180.0,top
U3,119.0,-89.0,90.0,top
U4,143.421348,-89.505,0.0,top
Y1,127.25,-83.1,180.0,top
